period,Palm oil,Sunflower oil,Maize,Wheat,date_popup
2010-01-01,830.88,968.0,167.314,201.190932023684,2010-01-01
2010-02-01,830.0,948.0,161.80248,194.0,2010-02-01
2010-03-01,862.83,949.0,159.04672,191.075071754348,2010-03-01
2010-04-01,862.71,924.0,157.07832,192.87,2010-04-01
2010-05-01,855.31,910.0,163.3772,181.605588975,2010-05-01
2010-06-01,825.68,889.0,152.74784,157.672098470455,2010-06-01
2010-07-01,844.43,937.0,163.75682,195.817690591286,2010-07-01
2010-08-01,943.73,1074.0,175.58128,246.247224455864,2010-08-01
2010-09-01,948.88,1114.0,205.89464,271.673597547429,2010-09-01
2010-10-01,1025.83,1284.0,235.81432,270.232195864286,2010-10-01
2010-11-01,1131.36,1441.0,238.1764,274.080760795588,2010-11-01
2010-12-01,1234.64,1454.0,250.38048,306.5201043804,2010-12-01
2011-01-01,1303.57,1492.0,264.94664,326.556567607286,2011-01-01
2011-02-01,1327.21,1704.74,292.89792,348.1203485495,2011-02-01
2011-03-01,1241.74,1636.96,290.53584,316.746570663783,2011-03-01
2011-04-01,1219.61,1634.05,319.27448,336.12429558105,2011-04-01
2011-05-01,1230.12,1644.09,307.85776,355.277885563636,2011-05-01
2011-06-01,1192.38,1699.32,310.61352,326.429929196591,2011-06-01
2011-07-01,1183.45,1672.38,300.77152,303.88392977625,2011-07-01
2011-08-01,1205.48,1671.3,310.21984,327.066589526087,2011-08-01
2011-09-01,1137.25,1591.59,295.26,315.916229076136,2011-09-01
2011-10-01,1044.75,1483.81,274.78864,289.010835782143,2011-10-01
2011-11-01,1113.38,1502.5,274.39496,281.0064022425,2011-11-01
2011-12-01,1121.5,1439.77,258.64776,269.0300071375,2011-12-01
2012-01-01,1123.5,1451.82,272.844845,274.89317414625,2012-01-01
2012-02-01,1146.25,1485.0,279.458669,277.7729592825,2012-02-01
2012-03-01,1195.34,1500.68,280.69384,283.878254086364,2012-03-01
2012-04-01,1233.61,1551.9,274.00128,266.323921792105,2012-04-01
2012-05-01,1125.0,1522.17,269.27712,264.358724018478,2012-05-01
2012-06-01,1027.74,1430.48,267.30872,276.1899195,2012-06-01
2012-07-01,1052.84,1472.27,333.05328,345.687946757143,2012-07-01
2012-08-01,1022.38,1525.43,331.992055652174,349.400350682609,2012-08-01
2012-09-01,1001.38,1572.25,320.8492,353.420923772368,2012-09-01
2012-10-01,886.0,1302.61,321.24288,358.195666995,2012-10-01
2012-11-01,863.18,1285.23,321.63656,360.8228394,2012-11-01
2012-12-01,843.55,1271.9,308.64512,347.9625549,2012-12-01
2013-01-01,884.52,1298.48,303.1336,335.4697071,2013-01-01
2013-02-01,919.58,1285.75,302.73992,318.9350556,2013-02-01
2013-03-01,891.5,1249.76,309.0388,309.7491381,2013-03-01
2013-04-01,874.17,1221.14,279.90648,308.2793913,2013-04-01
2013-05-01,879.47,1227.73,295.5375444,319.669929,2013-05-01
2013-06-01,876.88,1245.25,298.40944,313.4235051,2013-06-01
2013-07-01,827.09,1210.87,279.5128,304.6050243,2013-07-01
2013-08-01,819.29,1111.67,238.735604545455,305.3398977,2013-08-01
2013-09-01,826.25,1005.71,207.405387,307.50777423,2013-09-01
2013-10-01,859.66,1008.48,201.725210909091,325.6867049625,2013-10-01
2013-11-01,904.05,1004.05,199.13474,306.751628178947,2013-11-01
2013-12-01,886.25,996.0,197.391152,291.556647203571,2013-12-01
2014-01-01,862.63,951.82,198.0643448,275.577525,2014-01-01
2014-02-01,904.34,953.0,209.3235928,292.1121765,2014-02-01
2014-03-01,953.81,984.76,222.33078,323.7117327,2014-03-01
2014-04-01,926.63,952.25,222.3583376,324.8140428,2014-04-01
2014-05-01,898.42,951.5,217.2956128,334.7348337,2014-05-01
2014-06-01,861.88,942.38,202.3948248,306.4422078,2014-06-01
2014-07-01,853.69,908.04,182.726572,280.3542021,2014-07-01
2014-08-01,778.69,853.75,176.4237552,263.4521139,2014-08-01
2014-09-01,760.75,834.09,163.0583192,243.6105321,2014-09-01
2014-10-01,764.4,888.26,163.121308,245.4477156,2014-10-01
2014-11-01,764.75,922.75,178.7425304,258.6754368,2014-11-01
2014-12-01,719.64,900.95,178.7346568,269.6985378,2014-12-01
2015-01-01,719.64,870.71,174.7073104,248.3872092,2015-01-01
2015-02-01,723.04,825.0,173.6955528,236.9966715,2015-02-01
2015-03-01,698.86,804.55,174.2270208,230.7502476,2015-03-01
2015-04-01,682.75,833.5,172.0539072,223.4015136,2015-04-01
2015-05-01,697.35,916.05,166.2943688,215.3179062,2015-05-01
2015-06-01,705.91,927.95,166.7195432,209.8063557,2015-06-01
2015-07-01,680.0,917.39,179.596816,197.3135079,2015-07-01
2015-08-01,601.38,894.75,162.5937768,179.6765463,2015-08-01
2015-09-01,599.5,896.82,165.621176,172.695249,2015-09-01
2015-10-01,636.67,961.59,171.388588,172.709946468,2015-10-01
2015-11-01,608.21,915.24,166.1565808,177.1044894,2015-11-01
2015-12-01,607.38,898.18,163.948036,189.2299005,2015-12-01
2016-01-01,611.63,885.35,161.0269304,193.2717042,2016-01-01
2016-02-01,679.17,898.19,159.676608,187.0252803,2016-02-01
2016-03-01,715.95,859.19,159.1372664,191.067084,2016-03-01
2016-04-01,775.0,875.95,164.4125784,187.392717,2016-04-01
2016-05-01,753.42,881.0,168.9556456,171.9603756,2016-05-01
2016-06-01,718.18,860.23,179.872392,173.0626857,2016-06-01
2016-07-01,678.16,832.86,161.7591752,151.7513571,2016-07-01
2016-08-01,771.02,830.35,150.1534888,149.1793002,2016-08-01
2016-09-01,797.85,865.73,148.4252336,150.649047,2016-09-01
2016-10-01,749.75,873.0,152.2596768,151.7513571,2016-10-01
